text	                                                                                   anxiety_level
I'm worried I might forget some answers during the test.	                                             Moderate
I feel some pressure because the exam is important.                                                   	Moderate
The pressure of the exam is making me very stressed.	                                                     High
My heart races whenever I think about the exam.	                                                           High
I'm very worried and I don't feel prepared at all.	                                                       High
I'm worried about the difficult questions.                                                              	Moderate
I'm worried I might forget some answers during the test.                                                 	Moderate
I feel pressure to perform well in the exam.                                                            	Moderate
The exam makes me a little stressed.	                                                                    Moderate
I can't sleep because I'm thinking about the exam.	                                                         High
Feeling relaxed and ready for tomorrow's test.                                                              	Low
The exam is near but I feel okay about it.	                                                                  Low
I'm scared I will fail the exam even though I tried to study.                                               	High
I think I will manage the exam without much stress.                                                          	Low
I am confident about most of the topics.	                                                                    Low
The pressure of the exam is making me very stressed.                                                        	High
I think I will manage the exam without much stress.	                                                          Low
I revised everything and I'm not worried about the exam.	                                                    Low
I am slightly anxious thinking about tomorrow's exam.                                                     	Moderate
I feel like I might fail and disappoint everyone.                                                             	High
I feel nervous but I think I can handle it.	                                                                 Moderate
I am feeling positive about the exam.                                                                           	Low
I feel pressure to perform well in the exam.                                                                 	Moderate
The exam makes me a little stressed.                                                                        	Moderate
I studied but I still feel uncertain about some topics.	                                                        Moderate
I am confident about most of the topics.	                                                                      Low
I feel pressure to perform well in the exam.	                                                                 Moderate
I am confident about most of the topics.	                                                                         Low
My heart races whenever I think about the exam.                                                                 	High
The exam is making me very anxious and nervous.                                                                 	High
Feeling relaxed and ready for tomorrow's test.	                                                                  Low
I'm worried about the difficult questions.                                                                     	Moderate
I feel pressure to perform well in the exam.	                                                                  Moderate
I'm worried I might forget some answers during the test.                                                       	Moderate
I feel panic thinking about the test tomorrow.	                                                                  High
I feel overwhelmed and afraid of failing.                                                                        	High
I'm very worried and I don't feel prepared at all.	                                                              High
I studied well and I think the exam will go fine.	                                                                Low
I studied but I still feel uncertain about some topics.                                                       	Moderate
I feel panic thinking about the test tomorrow.	                                                                  High
The exam is making me very anxious and nervous.                                                                   	High
I am feeling positive about the exam.                                                                                	Low
The exam is making me very anxious and nervous.                                                                     	High
I feel overwhelmed and afraid of failing.                                                                           	High
I studied but I still feel uncertain about some topics                                                             Moderate
Feeling relaxed and ready for tomorrow's test.	                                                                      Low
I studied but I still feel uncertain about some topics.	                                                           Moderate
I studied but I still feel a bit nervous about the exam.	                                                         Moderate
I think I will manage the exam without much stress.                                                                	Low
My heart races whenever I think about the exam.                                                                    	High
I feel pressure to perform well in the exam.	                                                                      Moderate
I feel like I might fail and disappoint everyone.                                                                  	High
The exam is near but I feel okay about it.                                                                        	Low
I'm very worried and I don't feel prepared at all.	                                                                High
I prepared regularly so the exam doesn't scare me.	                                                                Low
I'm worried about the difficult questions.	                                                                      Moderate
I feel some pressure because the exam is important.                                                               	Moderate
The exam is making me very anxious and nervous.                                                                     	High
I am feeling positive about the exam.	                                                                                Low
I feel some pressure because the exam is important.                                                                	Moderate
I prepared regularly so the exam doesn't scare me.                                                                    	Low
I feel panic thinking about the test tomorrow.	                                                                       High
I studied but I still feel uncertain about some topics.                                                             	Moderate
I feel pressure to perform well in the exam.	                                                                        Moderate
I'm worried I might forget some answers during the test.                                                            	Moderate
I'm scared I will fail the exam even though I tried to study.	                                                         High
I feel some pressure because the exam is important.                                                                 	Moderate
The exam is near but I feel okay about it.                                                                          	Low
I studied but I still feel a bit nervous about the exam.                                                          	Moderate
I think I will manage the exam without much stress.                                                                 	Low
I hope I remember everything during the exam.                                                                       	Moderate
I am slightly anxious thinking about tomorrow's exam.                                                               	Moderate
I feel some pressure because the exam is important                                                                  	Moderate
I think I will manage the exam without much stress.                                                                  	Low
I feel some pressure because the exam is important.                                                                 	Moderate
I prepared regularly so the exam doesn't scare me.	                                                                  Low
I studied well and I think the exam will go fine.                                                                      	Low
I can't sleep because I'm thinking about the exam.                                                                     	High
I'm very worried and I don't feel prepared at all.	                                                                    High
I feel prepared for my exam and I'm just reviewing a little.                                                           	Low
I feel overwhelmed and afraid of failing.	                                                                               High
I feel panic thinking about the test tomorrow.                                                                           	High
I prepared regularly so the exam doesn't scare me.                                                                       	Low
I feel panic thinking about the test tomorrow.	                                                                          High
I am feeling positive about the exam.	                                                                                       Low
I'm worried I might forget some answers during the test.                                                                 	Moderate
The exam is near but I feel okay about it.	                                                                                Low
I am slightly anxious thinking about tomorrow's exam.                                                                    	Moderate
I studied but I still feel uncertain about some topics.                                                                 	Moderate
I feel pressure to perform well in the exam.	                                                                             Moderate
I feel extremely stressed about the exam and can't focus.	                                                                    High
I studied but I still feel uncertain about some topics.	                                                                      Moderate
I feel extremely stressed about the exam and can't focus.                                                                    	High
Feeling relaxed and ready for tomorrow's test.                                                                               	Low
I feel panic thinking about the test tomorrow.                                                                             	High
I'm calm about the exam and confident in my preparation.                                                                     	Low
I'm calm about the exam and confident in my preparation.	                                                                     Low
I'm scared I will fail the exam even though I tried to study.	                                                                     High
I am slightly anxious thinking about tomorrow's exam.                                                                          	Moderate
I feel some pressure because the exam is important.                                                                        	Moderate
The exam is near but I feel okay about it.	                                                                                  Low
The pressure of the exam is making me very stressed.                                                                         	High
I hope I remember everything during the exam.                                                                              	Moderate
I studied but I still feel uncertain about some topics.                                                                    	Moderate
Feeling relaxed and ready for tomorrow's test.                                                                                	Low
I'm worried about the difficult questions.	                                                                                Moderate
I feel some pressure because the exam is important.                                                                       	Moderate
I feel some pressure because the exam is important.                                                                         	Moderate
I feel overwhelmed and afraid of failing.	                                                                                       High
I feel extremely stressed about the exam and can't focus.                                                                      	High
I think I will manage the exam without much stress.                                                                            	Low
I am slightly anxious thinking about tomorrow's exam.                                                                         	Moderate
My heart races whenever I think about the exam.                                                                                	High
I am slightly anxious thinking about tomorrow's exam.	                                                                         Moderate
I can't sleep because I'm thinking about the exam.	                                                                            High
I studied but I still feel a bit nervous about the exam.	                                                                     Moderate
Feeling relaxed and ready for tomorrow's test.	                                                                                Low
I'm worried about the difficult questions.	                                                                                   Moderate
I'm calm about the exam and confident in my preparation.	                                                                        Low
The exam makes me a little stressed.	                                                                                          Moderate
I am confident about most of the topics.                                                                                        	Low
I am confident about most of the topics.	                                                                                        Low
The exam is making me very anxious and nervous.	                                                                                 High
My heart races whenever I think about the exam.	                                                                                  High
I studied well and I think the exam will go fine.                                                                                 	Low
I'm very worried and I don't feel prepared at all.	                                                                               High
I revised everything and I'm not worried about the exam.                                                                         	Low
I think I will manage the exam without much stress.                                                                              	Low
I studied but I still feel uncertain about some topics.	                                                                       Moderate
The exam makes me a little stressed.	                                                                                         Moderate
I feel extremely stressed about the exam and can't focus.                                                                      	High
I'm scared I will fail the exam even though I tried to study.	                                                                  High
I feel like I might fail and disappoint everyone.                                                                              	High
I feel nervous but I think I can handle it.	                                                                                   Moderate
I am confident about most of the topics.	                                                                                       Low
I studied well and I think the exam will go fine.                                                                               	Low
The exam makes me a little stressed.	                                                                                          Moderate
I'm worried about the difficult questions.	                                                                                    Moderate
My heart races whenever I think about the exam.	                                                                                 High
I can't sleep because I'm thinking about the exam.                                                                               	High
I feel prepared for my exam and I'm just reviewing a little.	                                                                    Low
The pressure of the exam is making me very stressed.                                                                            	High
I revised everything and I'm not worried about the exam.                                                                        	Low
I hope I remember everything during the exam.	                                                                                 Moderate
I'm worried about the difficult questions.	                                                                                    Moderate
I feel panic thinking about the test tomorrow.	                                                                                  High
I revised everything and I'm not worried about the exam.                                                                        	Low
I can't sleep because I'm thinking about the exam.                                                                                 	High
I feel nervous but I think I can handle it.                                                                                    	Moderate
I am confident about most of the topics.	                                                                                       Low
I studied but I still feel a bit nervous about the exam.                                                                       	Moderate
I'm worried about the difficult questions.	                                                                                     Moderate
Feeling relaxed and ready for tomorrow's test.	                                                                                    Low
The exam makes me a little stressed.	                                                                                            Moderate
I prepared regularly so the exam doesn't scare me.                                                                                 	Low
I feel like I might fail and disappoint everyone.                                                                                   	High
I revised everything and I'm not worried about the exam.	                                                                            Low
The pressure of the exam is making me very stressed.	                                                                               High
I studied but I still feel uncertain about some topics.                                                                          	Moderate
I prepared regularly so the exam doesn't scare me.	                                                                              Low
I think I will manage the exam without much stress.	                                                                              Low
I'm calm about the exam and confident in my preparation.	                                                                        Low
I feel panic thinking about the test tomorrow.	                                                                                  High
I revised everything and I'm not worried about the exam.	                                                                         Low
I'm worried about the difficult questions.	                                                                                      Moderate
The pressure of the exam is making me very stressed.                                                                              	High
I am feeling positive about the exam.                                                                                             	Low
I feel nervous but I think I can handle it.                                                                                     	Moderate
I'm worried about the difficult questions.                                                                                      	Moderate
I am slightly anxious thinking about tomorrow's exam.	                                                                            Moderate
Feeling relaxed and ready for tomorrow's test.	                                                                                    Low
The exam is making me very anxious and nervous.	                                                                                  High
The pressure of the exam is making me very stressed.	                                                                             High
I'm very worried and I don't feel prepared at all.	                                                                                High
I revised everything and I'm not worried about the exam.                                                                          	Low
I prepared regularly so the exam doesn't scare me.	                                                                                 Low
I prepared regularly so the exam doesn't scare me.	                                                                                  Low
My heart races whenever I think about the exam.	                                                                                     High
I feel prepared for my exam and I'm just reviewing a little.                                                                       	Low
I studied but I still feel uncertain about some topics.	                                                                         Moderate
The exam is near but I feel okay about it.	                                                                                        Low
I'm calm about the exam and confident in my preparation.                                                                          	Low

